# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2043
#@/user_id	Home-PC
a 	啊	c=0 d=0.000171216 t=2043
an jian 	按鍵	c=1 d=0.0177743 t=2043
an li shuo 	按理說	c=1 d=0.00138785 t=2043
an zha 	安扎	c=1 d=0.055299 t=2043
an zhao 	按照	c=4 d=0.0851455 t=2043
ba 	吧	c=4 d=0.374362 t=2043
ba 	把	c=1 d=0.11475 t=2043
ban ben 	版本	c=9 d=1.89645 t=2043
ban tian 	半天	c=1 d=0.000121572 t=2043
bao 	包	c=6 d=0.026678 t=2043
bao cuo 	報錯	c=1 d=0.00122477 t=2043
bao liu 	保留	c=1 d=0.0017555 t=2043
bao wen 	報文	c=2 d=0.0105478 t=2043
bao xu lie hao 	包序列號	c=1 d=6.70548e-05 t=2043
bei 	被	c=3 d=0.218082 t=2043
bei jing 	背景	c=1 d=0.000193545 t=2043
bi 	比	c=0 d=4.55097e-05 t=2043
bi ji 	筆記	c=1 d=0.000518277 t=2043
bi jia huo 	比傢伙	c=1 d=0.000457378 t=2043
bi jiao 	比較	c=2 d=0.000131601 t=2043
bi jiao hao 	比較好	c=1 d=0.000459671 t=2043
bi jiao kuai 	比較快	c=1 d=4.60861e-05 t=2043
bian 	變	c=1 d=0.000156885 t=2043
bian 	邊	c=1 d=0.0167392 t=2043
bian cheng 	編程	c=2 d=0.00183764 t=2043
bian cheng 	變成	c=1 d=0.000649051 t=2043
bian hua 	變化	c=1 d=0.000441647 t=2043
bian jie 	邊界	c=1 d=7.44785e-05 t=2043
bian li 	遍歷	c=1 d=7.9084e-05 t=2043
bian liang 	變量	c=3 d=1.1174 t=2043
bian yi 	便宜	c=1 d=0.00107547 t=2043
bian yi 	編譯	c=3 d=0.188856 t=2043
biao 	表	c=1 d=0.255381 t=2043
bie 	別	c=1 d=0.0107807 t=2043
bing bu neng 	並不能	c=1 d=0.000187825 t=2043
bing qie 	並且	c=1 d=0.000232877 t=2043
bu 	不	c=2 d=0.631833 t=2043
bu dai 	不帶	c=1 d=0.00293808 t=2043
bu deng yu 	不等於	c=0 d=8.02792e-06 t=2043
